ff_sample,fm_sample,mf_sample,mm_sample,ff_comparative_sample,mf_comparative_sample,fm_comparative_sample,mm_comparative_sample,f_gender_sample,m_gender_sample
-0.34375,-0.6,-0.30000000000000004,-0.125,-0.1875,-0.3499999999999999,-0.35555555555555557,-0.25,-0.29375,-0.3
-0.05,-0.1875,-0.3125,-0.05,-0.08333333333333333,-0.2791666666666667,-0.05,-0.039999999999999994,-0.2,-0.04
-0.8,-0.45,-0.09351851851851851,-0.025,-0.03472222222222222,-0.10916666666666668,-0.18333333333333335,-0.10439814814814817,-0.05833333333333334,-0.01845238095238096
-0.031111111111111135,-0.07777777777777779,-0.19583333333333333,-0.021212121212121206,-0.1,-0.0822420634920635,-0.325,-0.05,-0.2533333333333333,-0.07777777777777779
-0.0625,-0.15555555555555559,-0.012500000000000002,-0.04999999999999999,-0.1875,-0.13333333333333333,-0.4,-0.2916666666666667,-0.2,-0.05
-0.06666666666666661,-0.275,-0.078125,-0.22777777777777775,-0.09361111111111112,-0.3125,-0.037777777777777785,-0.6666666666666666,-0.15555555555555559,-0.05650793650793653
-0.05454545454545454,-0.5,-0.203125,-0.30000000000000004,-0.06666666666666667,-0.1,-0.012499999999999997,-0.25,-0.6,-0.6549999999999999
-0.30000000000000004,-0.046875,-0.325,-0.04999999999999999,-0.022222222222222216,-0.07319444444444442,-0.3499999999999999,-0.25,-0.14131944444444444,-0.075
-0.009999999999999986,-0.15000000000000002,-0.10000000000000002,-0.0062500000000000056,-0.08333333333333333,-0.1875,-0.3171875,-0.15000000000000002,-0.3333333333333333,-0.4
-0.325,-0.061111111111111116,-0.4,-0.15,-1.0,-0.1875,-0.275,-0.25,-0.1625,-0.025
-0.25,-0.03344322344322343,-0.09166666666666667,-0.15555555555555559,-0.30000000000000004,-0.4851851851851852,-0.022222222222222216,-0.09375,-0.1875,-0.4
-0.25,-0.09375,-0.03333333333333333,-0.1277777777777778,-0.2625,-0.16666666666666666,-0.041666666666666664,-0.07142857142857142,-0.08125,-0.10000000000000002
-0.1875,-0.04999999999999999,-0.17500000000000002,-0.0125,-0.34375,-0.09375,-0.4,-0.1875,-0.17361111111111108,-0.4
-0.29375,-0.1,-0.15625,-0.15555555555555559,-0.11749999999999998,-0.030000000000000006,-1.0,-0.2851851851851852,-0.17857142857142858,-0.05
-0.25,-0.19999999999999998,-0.19583333333333333,-0.5,-0.09999999999999999,-0.05000000000000002,-0.15555555555555559,-0.15000000000000002,-0.4,-0.5
-0.09375,-0.2,-0.0625,-0.205,-0.2,-0.05,-0.6,-0.2277777777777778,-0.109375,-0.6
-0.046875,-0.1125,-0.07500000000000001,-0.4,-0.65,-0.2,-0.06666666666666667,-0.09375,-0.2041666666666667,-0.2333333333333333
-0.05555555555555555,-0.1,-0.6666666666666666,-0.25,-0.5,-0.18333333333333335,-0.15,-0.10092592592592593,-0.05,-0.0625
-0.06666666666666667,-0.29583333333333334,-0.057499999999999996,-0.10714285714285714,-0.3277777777777778,-0.03819444444444446,-0.6999999999999998,-0.12638888888888888,-0.2,-0.0875
-0.24375000000000002,-0.0035714285714285665,-0.13333333333333333,-0.65,-0.4000000000000001,-0.125,-0.2,-0.027777777777777787,-0.03125,-0.075
-0.2,-0.3791666666666667,-0.6,-0.06666666666666668,-0.0625,-0.08038461538461539,-0.06875,-0.25,-0.08333333333333333,-0.5
-0.11,-0.1875,-0.12499999999999994,-0.03333333333333333,-0.355,-0.109375,-0.07291666666666666,-0.15555555555555559,-0.14325,-0.2
-0.07777777777777779,-0.14722222222222223,-0.005000000000000001,-0.07500000000000001,-0.4,-0.6666666666666666,-0.1875,-0.5,-0.125,-0.2
-0.6,-0.04222222222222222,-0.2916666666666667,-0.07777777777777779,-0.4,-0.029166666666666664,-0.041666666666666664,-0.0125,-1.0,-0.038461538461538464
-0.36458333333333337,-0.45,-0.1125,-0.15,-0.10833333333333334,-0.05,-0.19999999999999998,-0.12166666666666666,-0.07777777777777779,-0.5
