ff_sample,fm_sample,mf_sample,mm_sample,ff_comparative_sample,mf_comparative_sample,mf_comparative_sample,mm_comparative_sample,f_gender_sample,m_gender_sample
-1.0,-0.1375,-0.3125,-0.056249999999999994,-0.125,-0.20185185185185187,-0.15555555555555559,-0.19375,-0.0625,-0.0625
-0.29583333333333334,-0.1875,-0.125,-0.05,-0.03333333333333335,-0.21388888888888888,-0.025000000000000022,-0.05000000000000002,-0.1,-0.225
-0.061805555555555565,-0.2785714285714286,-0.28833333333333333,-0.0875,-0.5,-0.05,-0.02500000000000001,-0.033333333333333326,-0.075,-0.09375
-0.02500000000000001,-0.2,-0.0023809523809523803,-0.03750000000000001,-0.4,-0.25,-0.125,-0.05,-0.1875,-0.05119047619047619
-0.40499999999999997,-0.3666666666666667,-0.05,-6.938893903907228e-18,-0.22954545454545452,-0.15000000000000002,-0.44375,-0.275,-0.1722222222222222,-0.2
-0.2,-0.1,-0.04791666666666668,-0.3,-0.07777777777777779,-0.11875,-0.15555555555555559,-0.13333333333333333,-0.21851851851851853,-0.3625
-0.096875,-0.2916666666666667,-0.4,-0.037500000000000006,-0.02083333333333334,-0.1875,-0.05,-0.07037037037037039,-0.1795138888888889,-0.10714285714285714
-0.65,-0.1,-0.2,-0.09999999999999998,-0.4,-0.2916666666666667,-0.5,-0.21666666666666667,-0.5,-0.4
-0.3125,-0.225,-0.29375,-0.125,-0.2916666666666667,-0.125,-0.1875,-0.05000000000000001,-0.04111111111111112,-0.07777777777777779
-0.2,-0.1388888888888889,-0.15555555555555559,-0.5,-0.4,-0.10902777777777777,-0.05,-0.5,-0.04375,-0.08888888888888889
-0.125,-0.2,-0.046875000000000014,-0.5,-0.6,-0.10340909090909091,-1.0,-0.2,-0.05,-0.1
-0.5,-0.2916666666666667,-0.0654421768707483,-0.08218750000000001,-0.52,-0.25,-0.5,-0.10000000000000003,-0.15625,-0.07777777777777779
-0.09375,-0.1,-0.09999999999999998,-0.14799999999999996,-0.022916666666666675,-0.21250000000000002,-0.05,-0.1402777777777778,-0.17857142857142858,-0.07142857142857142
-0.0014880952380952606,-0.5,-0.042176870748299324,-0.4,-0.024999999999999994,-0.3125,-0.04583333333333334,-0.05,-0.025,-0.041666666666666664
-0.25,-0.42500000000000004,-1.0,-0.061111111111111116,-0.33666666666666667,-0.16666666666666666,-0.02777777777777779,-0.03333333333333333,-0.14,-0.2988888888888889
-0.125,-0.05,-0.13749999999999996,-0.140625,-0.06000000000000001,-0.29375,-0.5,-0.1392857142857143,-0.1875,-0.3
-0.25,-0.0915,-0.0625,-0.07777777777777779,-0.12187500000000001,-0.4,-0.125,-0.1,-0.1,-0.01990740740740742
